"tier","sop_name","site","sop_status","signoff_type","governing_policies","section_or_area","tier_metadata","priority_notes","review"
"educator","Active Supervision","Multicampus","existing","self","Supervision Policy","","","",""
"educator","Arrival & Departure Safety Procedures","Multicampus","existing","self","Arrival and Departure","","","",""
"educator","Conduct Professional Boundaries & Digital Devices","Multicampus","existing","self","Code of Conduct; Mobile Phones and Personal Electronic Devices Policy","","","Gap 1: Code of Conduct sign-off is bundled inside this SOP rather than a standalone acknowledgement. Gap 2: no re-acknowledgement trigger when the Code is updated. Action: split Code of Conduct acknowledgement into its own standalone, versioned sign-off.",""
"educator","Daily Educator Jobs","Multicampus","existing","self","Staffing Arrangements","","","",""
"educator","Engagement with the Program and Practice Expectations","Multicampus","existing","self","Educational Program Policy","","","",""
"educator","Headcounts & Maintaining Ratios","Multicampus","existing","self","Supervision Policy; Staffing Arrangements","","","",""
"educator","Managing Illnesses and Injuries","Multicampus","existing","self","Incident Injury Trauma and Illness Policy; Sick Children Policy","","","",""
"educator","Nappy Changing and Toilet Training","Multicampus","existing","self","Nappy Change Toileting","","","",""
"educator","Raising Concerns Hazards & Practice Issues","Multicampus","existing","self","Complaints and Feedback Policy","","","Staff-facing only. Family-facing complaints SOP is missing, see Section 2.",""
"educator","Sleep Rest & Quiet Supervision","Multicampus","existing","supervisor","Sleep and Rest Policy","","","Recommend upgrading sign-off to supervisor-verified: safe sleep is a high-consequence practical skill.",""
"educator","Confidentiality & Privacy","Multicampus","existing","self","Health and Safety Policy; CCTV Policy","","","",""
"educator","Infection Control & Hygiene","Multicampus","existing","self","Hand Washing Policy; Immunisation","","","",""
"educator","Learning Environment Set-Up & Pack-Down","Multicampus","existing","self","Health and Safety Policy","","","",""
"educator","Leave and Absenteeism","Multicampus","existing","self","Staff Leave Entitlement","","","",""
"educator","Mealtimes & Nutrition Support","Multicampus","existing","self","Nutrition and Oral Health Policy","","","",""
"educator","Medication Handling and Administration","Multicampus","existing","supervisor","Administration of Medication; Administration of First Aid","","","Recommend upgrading sign-off to supervisor-verified: high-consequence practical skill.",""
"educator","Outdoor Play Safety & Risk","Multicampus","partial","self","Adventurous Risky Nature Play Policy; RSG Active Play Policy; UV Sun Safety; Water Safety","","","Four policies collapsed into one SOP. UV Sun Safety and Water Safety need breaking out into their own SOPs, see Section 2.",""
"educator","Redirecting and Emotion Coaching","Multicampus","existing","self","Behaviour Policy","","","",""
"educator","Coaching Observation & Reflective Practice","Multicampus","existing","self","Professional Development","","","",""
"educator","Communication with Families","Multicampus","existing","self","Family Communication","","","",""
