"policy_name","status","document_type","is_parent_facing","program","site","governs_an_sop","parent_list_source","review"
"Acceptance and Refusal Authorisation","in_library","policy","true","general","Multicampus","false","Acceptance and Refusal Authorisation","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Administration of First Aid","in_library","policy","true","general","Multicampus","true","Administration of First Aid",""
"Administration of Medication","in_library","policy","true","general","Multicampus","true","Administration of Medication",""
"Adventurous Risky Nature Play Policy","in_library","policy","false","","Multicampus","true","",""
"Adverse Weather Policy","in_library","policy","true","general","Multicampus","true","Adverse Weather Policy",""
"Anaphylaxis Management","in_library","policy","false","","Multicampus","true","",""
"Arrival and Departure","in_library","policy","true","general","Multicampus","true","Arrival and Departure",""
"Behaviour Policy","in_library","policy","false","","Multicampus","true","",""
"Bottle Safety Preparation","in_library","policy","false","","Multicampus","true","",""
"Breast Milk Preparation Procedure","in_library","procedure","false","","Multicampus","true","",""
"Bullying and Harassment Policy","must_be_written","policy","false","","Multicampus","true","",""
"Bush Fire Policy","in_library","policy","true","general","Multicampus","true","Bush Fire Policy",""
"Cancellation of Care","in_library","policy","true","general","Multicampus","false","Cancellation of Care","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"CCTV Policy","in_library","policy","false","","Mortlake","true","",""
"CCTV Policy Timboon","in_library","policy","true","general","Timboon","false","CCTV Policy Timboon","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Child Safe Environment","in_library","policy","true","general","Multicampus","true","Child Safe Environment",""
"Childrens Belongings","in_library","policy","true","general","Multicampus","false","Childrens Belongings","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Code of Conduct","in_library","policy","true","general","Multicampus","true","Code of Conduct",""
"Complaint Procedure","in_library","policy","true","general","Multicampus","false","Complaint Procedure","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Complaints and Feedback Policy","in_library","policy","true","general","Multicampus","true","Complaints and Feedback Policy",""
"Conjuntivitis","in_library","policy","true","general","Multicampus","false","Conjuntivitis","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Coronavirus-COVID-19-Management-Policy-March-2020","in_library","policy","true","general","Multicampus","false","Coronavirus-COVID-19-Management-Policy-March-2020","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Disaster Plan Mortlake","in_library","plan","false","","Mortlake","true","",""
"Disaster Plan Timboon","in_library","plan","false","","Timboon","true","",""
"Educational Program Policy","in_library","policy","false","","Multicampus","true","",""
"Emergency Evacuation Policy","in_library","policy","true","general","Multicampus","false","Emergency Evacuation Policy","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Enrolment Kinder Policy Ready Set Go final","in_library","policy","true","kinder","Multicampus","false","Enrolment Kinder Policy Ready Set Go final","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Excursion","in_library","policy","true","general","Multicampus","false","Excursion","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Family Communication","in_library","policy","false","","Multicampus","true","",""
"Hand Washing Policy","in_library","policy","false","","Multicampus","true","",""
"Health and Safety Policy","in_library","policy","false","","Multicampus","true","",""
"Healthy Eating & Oral Policy","in_library","policy","true","general","Multicampus","false","Healthy Eating & Oral Policy","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Holding Fee","in_library","policy","true","general","Multicampus","false","Holding Fee","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Immunisation","in_library","policy","true","general","Multicampus","true","Immunisation Policy","parent list name differs: 'Immunisation Policy'"
"Incident Injury Trauma and Illness Policy","in_library","policy","false","","Multicampus","true","",""
"Interactions with Children Families and Staff","in_library","policy","false","","Multicampus","true","",""
"Kinder Handbook RSG June","in_library","handbook","true","kinder","Multicampus","false","Kinder Handbook RSG June","only in parent list, not linked to any SOP; doc_type=handbook; status not stated in source; defaulted to in_library"
"Kindergarten Payment of Fees Policy","in_library","policy","true","kinder","Multicampus","false","Kindergarten Payment of Fees Policy","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Lockdown Policy","in_library","policy","true","general","Multicampus","false","Lockdown Policy","only in parent list, not linked to any SOP; doc_type=policy; status not stated in source; defaulted to in_library"
"Managing an Aggressive Person or Visitor Policy","in_library","policy","false","","Multicampus","true","",""
"Manual Handling Policy","does_not_exist","policy","false","","Multicampus","true","",""
"Mobile Phones and Personal Electronic Devices Policy","in_library","policy","true","general","Multicampus","true","Mobile Phones and Personal Electronic Devices Policy",""
